N,DeltaT,X_pre,X_post,R,V,switches,decisions,switch_per_decision
8,2,8.320389955627949,0.5184868676764157,0.062315212440939606,0.03899727211816384,64,101,0.6336633663366337
8,5,8.320389955627949,0.5332553679748574,0.06409018938038609,0.055932309076410024,26,41,0.6341463414634146
8,10,8.320389955627949,0.5523972288337587,0.06639078598234627,0.07059206387985481,15,21,0.7142857142857143
8,20,8.320389955627949,0.6880075257010114,0.08268933660202309,0.23487729529598597,6,11,0.5454545454545454
8,40,8.320389955627949,3.3121630922047935,0.3980778677283547,1.4944651037023424,3,6,0.5
8,80,8.320389955627949,6.649186021472121,0.7991435566039284,0.922103543925645,2,4,0.5
8,160,8.320389955627949,6.6495176973618655,0.7991834196261561,0.9220108227491318,1,2,0.5
8,320,8.320389955627949,6.6495176973618655,0.7991834196261561,0.9220108227491318,1,2,0.5
16,2,10.513939682162185,0.5112177879914531,0.048622857220569624,0.01870074636449059,89,101,0.8811881188118812
16,5,10.513939682162185,0.5271625595616994,0.050139393557305324,0.03736055524109579,35,41,0.8536585365853658
16,10,10.513939682162185,0.553167095598823,0.0526127324600615,0.07200503426701263,19,21,0.9047619047619048
16,20,10.513939682162185,0.5879771332335462,0.05592357869725091,0.0874230777902314,11,11,1.0
16,40,10.513939682162185,0.7058986920656491,0.06713931346432088,0.17422755682575344,6,6,1.0
16,80,10.513939682162185,2.3619279884344855,0.22464728349561508,0.6598313871406583,3,4,0.75
16,160,10.513939682162185,1.4739153732117465,0.1401867822879346,0.49525604206168794,2,2,1.0
16,320,10.513939682162185,1.4739153732117465,0.1401867822879346,0.49525604206168794,2,2,1.0
32,2,11.940992862927517,0.5084164733168423,0.042577403667603916,0.009183996090642675,101,101,1.0
32,5,11.940992862927517,0.5205940263611832,0.04359721443075644,0.02281562954048031,41,41,1.0
32,10,11.940992862927517,0.5414083739479957,0.04534031467591558,0.04512540339367331,21,21,1.0
32,20,11.940992862927517,0.5915210167370735,0.049537004462462515,0.09098400391675414,11,11,1.0
32,40,11.940992862927517,0.7068568372269689,0.059195817746571545,0.17523641034905293,6,6,1.0
32,80,11.940992862927517,1.0549485348864762,0.08834680222962962,0.3494331311620874,4,4,1.0
32,160,11.940992862927517,1.5350539602646975,0.12855329350631195,0.5234079294311171,2,2,1.0
32,320,11.940992862927517,1.5350539602646975,0.12855329350631195,0.5234079294311171,2,2,1.0
64,2,12.806954599069245,0.5087313740309412,0.03972305594554958,0.009523578853998448,101,101,1.0
64,5,12.806954599069245,0.5216330415765917,0.04073045137635623,0.023895809449271412,41,41,1.0
64,10,12.806954599069245,0.5440065807170303,0.04247743493652788,0.04787225006815007,21,21,1.0
64,20,12.806954599069245,0.5949886063474932,0.04645824280432246,0.09432763627996976,11,11,1.0
64,40,12.806954599069245,0.7239805510356155,0.056530266070298346,0.18674989696752825,6,6,1.0
64,80,12.806954599069245,1.0776112580312935,0.08414266246478376,0.36120889431329106,4,4,1.0
64,160,12.806954599069245,1.6721831509037821,0.130568367207713,0.538836666854751,2,2,1.0
64,320,12.806954599069245,1.6721831509037821,0.130568367207713,0.538836666854751,2,2,1.0
100,2,13.028584905857851,0.5089915076785858,0.03906729022042413,0.009812271695635552,101,101,1.0
100,5,13.028584905857851,0.5218731883368225,0.0400560146867662,0.024216571698576602,41,41,1.0
100,10,13.028584905857851,0.5457201274641954,0.04188636996323609,0.049513179835456056,21,21,1.0
100,20,13.028584905857851,0.6001166025309632,0.04606153368668163,0.09825827509293017,11,11,1.0
100,40,13.028584905857851,0.7299134195691491,0.05602399837306728,0.19075896476672505,6,6,1.0
100,80,13.028584905857851,1.1090453297852987,0.08512400523917643,0.37021475422622574,4,4,1.0
100,160,13.028584905857851,1.6589038690292544,0.12732801612885722,0.5330245827061546,2,2,1.0
100,320,13.028584905857851,1.6589038690292544,0.12732801612885722,0.5330245827061546,2,2,1.0
200,2,13.112184864688658,0.5093456850096101,0.03884521841827344,0.01017744741302251,101,101,1.0
200,5,13.112184864688658,0.5231329733340546,0.03989670514353873,0.025491140922265308,41,41,1.0
200,10,13.112184864688658,0.5469786095624756,0.04171529117435634,0.05083141744011869,21,21,1.0
200,20,13.112184864688658,0.6043845541339017,0.046093352127876096,0.10186586807972156,11,11,1.0
200,40,13.112184864688658,0.7420912875423998,0.056595547973157745,0.19770639984946484,6,6,1.0
200,80,13.112184864688658,1.0988829427505271,0.08380624236848871,0.37089466015955697,4,4,1.0
200,160,13.112184864688658,1.6763578744021495,0.1278473337358605,0.537973779431817,2,2,1.0
200,320,13.112184864688658,1.6763578744021495,0.1278473337358605,0.537973779431817,2,2,1.0
